Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,ISSN,ISBN,CODEN,Document Type,Publication Stage,Open Access,Source,EID
"Becnel K.E., Moeller R.A.","","I’m conflicted about my shelf of censorship”: High school library graphic novel collection development in North Carolina, USA",2020,"School Libraries Worldwide","26","1",,"124","135",,1,,,,"Becnel, K.E.; Moeller, R.A.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85118218309
"Everhart N.","","School libraries and COVID-19",2020,"School Libraries Worldwide","26","2",,"i","ii",,1,,,,"Everhart, N.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85116408447
"Soulen R., Tedrow L., Sullivan K.","","Resilience in the aftermath: School libraries and rebounding after trauma",2020,"School Libraries Worldwide","26","2",,"27","45",,4,,,,"Soulen, R.; Tedrow, L.; Sullivan, K.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85112346632
"Kammer Jenna, Moreland Denise","","School and Public Library Collaboration: A Phenomenology of Working Together",2020,"School Libraries Worldwide","26","1",,"31","47",,1,,,,"Kammer, Jenna; Moreland, Denise",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85088501624
"Spisak J.R.","","School librarian perceptions of the importance of information literacy",2020,"School Libraries Worldwide","26","1",,"151","164",,2,,,,"Spisak, J.R.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85125991335
"Gagen-Spriggs K.","","An investigation into the reasons students read for pleasure",2020,"School Libraries Worldwide","26","1",,"110","123",,1,,,,"Gagen-Spriggs, K.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85101123993
"Burns Elizabeth A.","","AASL National School Library Standards: Progress toward Implementation",2020,"School Libraries Worldwide","26","1",,"1","12",,1,,,,"Burns, Elizabeth A.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85124901548
"Reed Karen, Tharp Terri","","Application of the Teacher Citizenship Behavior (TCB) Theory to the Extra-Role Work of School Librarians",2020,"School Libraries Worldwide","26","1",,"48","60",,1,,,,"Reed, Karen; Tharp, Terri",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85124870455
"Lewis Melanie A.","","Administrators’ Instructional Leadership Perspective of the Role of Instructional Coaches and Teacher Librarians: A Comparative Examination",2019,"School Libraries Worldwide","25","2",,"16","33",,1,,,,"Lewis, Melanie A.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85115791367
"Dipetso C.M., Moahi K.H.","","Information literacy skills of high school students in Botswana: A case study of a high school in Gaborone, Botswana",2019,"School Libraries Worldwide","25","1",,"99","115",,1,,,,"Dipetso, C.M.; Moahi, K.H.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85114642332
"Rinio D.","","Social network analysis for school librarians to evaluate and improve teacher collaboration",2019,"School Libraries Worldwide","25","1",,"57","79",,1,,,,"Rinio, D.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85110888536
"Burns E., Gross M., Latham D.","","The information literacy continuum: Mapping the ACRL framework to the AASL school library standards",2019,"School Libraries Worldwide","25","1",,"1","20",,5,,,,"Burns, E.; Gross, M.; Latham, D.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85088417505
"Baker A., Carney K., Schwark C.","","The School Librarian’s Role in the Adoption of Open Educational Resources",2019,"School Libraries Worldwide","25","1",,"81","99",,1,,,,"Baker, A.; Carney, K.; Schwark, C.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85124831606
"Oltmann Shannon M.","","Ethics, Values, and Intellectual Freedom in School Libraries",2018,"School Libraries Worldwide","24","1",,"71","86",,1,,,,"Oltmann, Shannon M.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85092743578
"Elkins Aaron. J.","","Mind the Gaps: School Librarians’ Job Descriptions and the Professional Standards for School Librarians in the United States",2018,"School Libraries Worldwide","24","1",,"87","98",,3,,,,"Elkins, Aaron. J.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85107312215
"Schultz-Jones Barbara","","Professional Standards: A Framework for Distance Learning Instructional Design",2018,"School Libraries Worldwide","24","1",,"29","44",,1,,,,"Schultz-Jones, Barbara",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85107274981
"Johnston M. P.","","Supporting STEM education: Needs assessment of southeastern rural teacher librarians",2018,"School Libraries Worldwide","24","2",,"62","79",,1,,,,"Johnston, M. P.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85106033990
"Soulen R.R., Wine L.D.","","Building Resilience in New and Beginning Teachers: Contributions of School Librarians",2018,"School Libraries Worldwide","24","2",,"80","91",,5,,,,"Soulen, R.R.; Wine, L.D.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85083496037
"Schultz-Jones B.","","Evidence, Standards and School Librarianship: Prevailing Policies, Promising Methods, and Progress on a Research Agenda",2018,"School Libraries Worldwide","24",,,"17","29",,2,,,,"Schultz-Jones, B.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85082093050
"Everhart N.","","Making the case for diversity in school library research",2018,"School Libraries Worldwide","24","2",,"i","iv",,1,,,,"Everhart, N.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85101237316
"Joo S., Cahill M.","","Exploring research topics in the field of school librarianship based on text mining",2018,"School Libraries Worldwide","24","1",,"15","28",,4,,,,"Joo, S.; Cahill, M.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85048794889
"Sakr R., Nabhani M., Osta I.","","Description and Evaluation of the Information Literacy Program in a Private School in Lebanon: A Case Study",2017,"School Libraries Worldwide","15","1",,"28","44",,3,,,,"Sakr, R.; Nabhani, M.; Osta, I.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-79951500869
"Seefeldt J., Syré L.","","German school libraries: Requirement and reality",2017,"School Libraries Worldwide","23","2",,"46","51",,1,,,,"Seefeldt, J.; Syré, L.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85089989309
"Harper M.","","Helping students who hurt: care based policies and practices for the school library",2017,"School Libraries Worldwide","23","1",,"41","54",,3,,,,"Harper, M.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85052011154
"Dube G.B.","","Review of educational policies that affect funding of school libraries in Malawi",2017,"School Libraries Worldwide","23","1",,"84","94",,1,,,,"Dube, G.B.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85106708307
"Paiva M., Sirihal D.A.","","School library contribution to student achievement as measured by the Brazil-Reading Test",2017,"School Libraries Worldwide","23","1",,"120","150",,1,,,,"Paiva, M.; Sirihal, D.A.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85065260861
"Harlan M.A.","","Constructing youth: Reflecting on defining youth and impact on methods",2016,"School Libraries Worldwide","22","2",,"1","12",,9,,,,"Harlan, M.A.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85058702801
"Barker S.","","From teacher to school librarian leader and instructional partner: A proposed transformation framework for educators of preservice school librarians",2016,"School Libraries Worldwide","22","1",,"143","159",,5,,,,"Barker, S.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85058335105
"Lupton M.","","Adding Value: Principals Perceptions of the Role of the Teacher-Librarian.”",2016,"School Libraries Worldwide","22","1",,"49","61",,5,,,,"Lupton, M.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85031312573
"Newsum J.M.","","School Collection Development and Resource Management in Digitally Rich Environments: An Initial Literature Review",2016,"School Libraries Worldwide","22","1",,"97","109",,1,,,,"Newsum, J.M.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85031285899
"Buchanan S., Harlan M.A., Bruce C.S., Edwards S.L.","","Inquiry based learning models, information literacy, and student engagement: A literature review",2016,"School Libraries Worldwide","22","2",,"23","39",,29,,,,"Buchanan, S.; Harlan, M.A.; Bruce, C.S.; Edwards, S.L.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85023599604
"Lewis M.","","Professional learning facilitators in 1:1 program implementation: Technology coaches or school librarians?",2016,"School Libraries Worldwide","22","2",,"13","23",,4,,,,"Lewis, M.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85044720659
"Branch-Mueller J., de Groot J.","","Becoming a celebrity teacher-librarian: Moving towards self-actualization and realization",2016,"School Libraries Worldwide","22","1",,"79","96",,8,,,,"Branch-Mueller, J.; de Groot, J.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85061671868
"Krashen S.","","The purpose of education, free voluntary reading, and dealing with the impact of poverty",2016,"School Libraries Worldwide","22","1",,"1","7",,6,,,,"Krashen, S.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85061418906
"Baro E.E., Eze M.E.","","Enhancing quality learning: The impact of school library services to students in Nigeria",2016,"School Libraries Worldwide","22","1",,"8","19",,5,,,,"Baro, E.E.; Eze, M.E.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85038590523
"Rawson C., Hughes-Hassell S.","","Research by Design: The Promise of Design-Based Research for School Library Research.",2015,"School Libraries Worldwide","21","2",,"11","25",,4,,,,"Rawson, C.; Hughes-Hassell, S.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85037992693
"Ewbank A.D.","","Library advocacy through Twitter: A social media analysis of #savelibraries and #getESEAright",2015,"School Libraries Worldwide","21","2",,"26","38",,6,,,,"Ewbank, A.D.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85020611324
"Hughes-Hassell S., Stivers J.","","Examining youth services librarians' perceptions of cultural knowledge as an integral part of their professional practice",2015,"School Libraries Worldwide","21","Jan. 2015",,"121","136",,2,,,,"Hughes-Hassell, S.; Stivers, J.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84995919912
"Green L.S., Johnston M.P.","","Global perspectives: exploring school-based Brazilian librarianship through institutional ethnography",2015,"School Libraries Worldwide","21","1",,"1","18",,1,,,,"Green, L.S.; Johnston, M.P.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85075152255
"Lo P.","","A Research Agenda for Enhancing Teacher Librarians Roles and Practice in Hong Kong’s 21st Century Learning Environments.”",2015,"School Libraries Worldwide","21","1",,"19","37",,2,,,,"Lo, P.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85031298281
"Barlow D.","","A Tale of Two Surveys: A Comparison of National Studies of School District Library Supervisors",2015,"School Libraries Worldwide","21","2",,"73","84",,1,,,,"Barlow, D.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84988965759
"Garry C.P.","","Selection or Censorship? School Librarians and LGBTQ Resources",2015,"School Libraries Worldwide","21","1",,"73","90",,5,,,,"Garry, C.P.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85051077785
"Moreillon J.","","#schoollibrarians tweet for professional development: A netnographic case study of #txlchat",2015,"School Libraries Worldwide","21","2",,"127","137",,9,,,,"Moreillon, J.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85012045388
"Froggatt D. L.","","The informationally underserved: Not always diverse, but always a social justice advocacy model",2015,"School Libraries Worldwide","21","1",,"54","72",,1,,,,"Froggatt, D. L.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85108238305
"Jones J.L., Martin M.S., Flohr B.R.","","Theories holding promise for supporting the constructivist behaviors of inquiry",2015,"School Libraries Worldwide","21","2",,"115","126",,2,,,,"Jones, J.L.; Martin, M.S.; Flohr, B.R.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85018917516
"Kim S.U.","","Investigating how English language learners feel during their research project with the framework of Kuhlthau's ISP",2015,"School Libraries Worldwide","21","2",,"85","102",,1,,,,"Kim, S.U.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85044168827
"Johnston M.P.","","Distributed leadership theory for investigating teacher librarian leadership",2015,"School Libraries Worldwide","21","2",,"39","57",,8,,,,"Johnston, M.P.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85008254597
"O'Connell J.","","Researcher's perspective: Is teacher librarianship in crisis in digital environments? An Australian perspective",2014,"School Libraries Worldwide","20","1",,"1","19",,1,,,,"O'Connell, J.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84951049960
"Rawson C.H.","","Every flower in the garden: collaboration between school librarians and science teachers",2014,"School Libraries Worldwide","20","1",,"20","28",,3,,,,"Rawson, C.H.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84946841654
"Lo P., Dukic D., Chen J.C.-C., Youn Y.-R., Yuji H., Nakashima M., Yang G.","","Attitudes and Self-Perceptions of School Librarians in Relations to Their Professional Practices: A Comparative Study between Hong Kong, Shanghai, South Korea, Taipei, and Japan",2014,"School Libraries Worldwide","20","1",,"51","69",,5,,,,"Lo, P.; Dukic, D.; Chen, J.C.-C.; Youn, Y.-R.; Yuji, H.; Nakashima, M.; Yang, G.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84945393742
"Johnston M.P., Mandel L.H.","","Are we leaving them lost in the woods with no breadcrumbs to follow?. Assessing signage systems in school libraries",2014,"School Libraries Worldwide","20","2",,"38","53",,3,,,,"Johnston, M.P.; Mandel, L.H.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85021755106
"Oyewusi F., Ayanlola A.O.","","Effect on mobile phone use on reading habit of private secondary school student in Oyo state Nigeria",2014,"School Libraries Worldwide","20","1",,"116","127",,4,,,,"Oyewusi, F.; Ayanlola, A.O.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85085898091
"Cooper L.Z.","","Electronic portfolios to support the growth of digital identity in the school library",2014,"School Libraries Worldwide","20","2",,"1","13",,2,,,,"Cooper, L.Z.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85018862911
"Gavigan K.W.","","Shedding new light on graphic novel collections: A circulation and collection analysis study in six middle school libraries",2014,"School Libraries Worldwide","20","1",,"97","115",,9,,,,"Gavigan, K.W.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84964569938
"Hughes H., Bozorgian H., Allan C.","","School libraries, teacher-librarians and student outcomes: Presenting and using the evidence",2014,"School Libraries Worldwide","20","1",,"29","50",,16,,,,"Hughes, H.; Bozorgian, H.; Allan, C.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84949088777
"Garrison K.L., Forest D.E., Kimmel S.C.","","Curation in translation: Promoting global citizenship through literature",2014,"School Libraries Worldwide","20","1",,"70","96",,1,,,,"Garrison, K.L.; Forest, D.E.; Kimmel, S.C.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85039821539
"Cabanilla G.","","An Exploration of the Benefits of an Indigenous Community Learning Center's Mini-school library",2013,"School Libraries Worldwide","19","1",,"91","",,1,,,,"Cabanilla, G.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85121563416
"Green L.S.","","Language learning through a lens: The case for digital storytelling in the second language classroom",2013,"School Libraries Worldwide","19","2",,"23","36",,17,,,,"Green, L.S.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85006538610
"Urska R., Primoz J.","","Guided inquiry projects: Enrichment for gifted pupils",2013,"School Libraries Worldwide","19","1",,"114","127",,6,,,,"Urska, R.; Primoz, J.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84919474848
"Oyelude A. A.","","Teachers'/students' library use and reading habits in Ido local government area, Ibadan, Nigeria",2013,"School Libraries Worldwide","19","2",,"69","",,1,,,,"Oyelude, A. A.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85115653393
"Johnston M.P.","","Investigating an international exchange of best practices between German and American teacher librarians",2013,"School Libraries Worldwide","19","1",,"59","71",,1,,,,"Johnston, M.P.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85053654979
"Morris R.","","Creating, Viewing, and Assessing: Fluid Roles of the Student Self in Digital Storytelling",2013,"School Libraries Worldwide","19","2",,"54","68",,3,,,,"Morris, R.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85053254603
"Hunt R.D., Luetkehans L.","","The Insider: School Librarians as Part of a Blended Professional Learning Community for Student Teacher Development in Technology Integration",2013,"School Libraries Worldwide","19","1",,"13","27",,1,,,,"Hunt, R.D.; Luetkehans, L.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85053249160
"Kumasi K.D., Hill R.F.","","Examining the hidden ideologies within cultural competence discourses among library and information science (LIS) students: Implications for school library pedagogy",2013,"School Libraries Worldwide","19","1",,"128","141",,8,,,,"Kumasi, K.D.; Hill, R.F.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85007219259
"Kumar B.R.","","Utilization of library resources for effective research output Limberg, L and Alexanderson M. (2002). The School Library as a space for learning",2013,"School Libraries Worldwide","9","1",,"1","15",,1,,,,"Kumar, B.R.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85112809785
"Paganelli A., Houston C.","","School Library eBook Providers and Spanish Language Equity: An Analysis of eBook Collections Available to School Libraries",2013,"School Libraries Worldwide","19","1",,"100","113",,2,,,,"Paganelli, A.; Houston, C.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85069469489
"Jones S.A.","","Illustrating the Narrative Process through Career Stories",2013,"School Libraries Worldwide","19","2",,"","",,1,,,,"Jones, S.A.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85081223762
"Foster E.M., Knapp N.F.","","Cougar readers: Piloting a library-based intervention for struggling readers",2013,"School Libraries Worldwide","19","1",,"72","90",,4,,,,"Foster, E.M.; Knapp, N.F.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84957969778
"Shenton A.K., Marshman G.","","The school library of today: Guises and ""universal"" roles",2012,"School Libraries Worldwide","18","2",,"73","81",,1,,,,"Shenton, A.K.; Marshman, G.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84951012087
"Buchanan S.","","Designing the research commons: Classical models for school libraries",2012,"School Libraries Worldwide","18","1",,"56","69",,3,,,,"Buchanan, S.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84919615064
"Kimmel S.C.","","Seeing the clouds: Teacher librarian as broker in collaborative planning with teachers",2012,"School Libraries Worldwide","18","1",,"87","96",,7,,,,"Kimmel, S.C.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84867031942
"Mardis M., ElBasri T., Norton S., Newsum J.","","The digital lives of U.S. teachers: A research synthesis and trends to watch",2012,"School Libraries Worldwide","18","1",,"70","86",,9,,,,"Mardis, M.; ElBasri, T.; Norton, S.; Newsum, J.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84907047877
"Vantuyle V., Watkins S.","","Teacher Librarians as Connectors to the School CEO",2012,"School Libraries Worldwide","18","1",,"111","122",,1,,,,"Vantuyle, V.; Watkins, S.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85053276275
"Kimmel S.C., Dickinson G.K., Doll C.A.","","Dispositions in the Twenty-First Century School Library Profession",2012,"School Libraries Worldwide","18","2",,"106","120",,2,,,,"Kimmel, S.C.; Dickinson, G.K.; Doll, C.A.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85053228670
"Ercegovac Z.","","Digital Image Tagging: A Case Study with Seventh Grade Students",2012,"School Libraries Worldwide","18","1",,"97","110",,5,,,,"Ercegovac, Z.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84897951570
"Farmer L.","","The roles of professional organisations in school library education: Case studies from around the world",2012,"School Libraries Worldwide","18","2",,"1","11",,2,,,,"Farmer, L.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84941362151
"Kymes A., Ray B.","","Preparing school librarians in rural areas through distance education and communities of practice",2012,"School Libraries Worldwide","18","2",,"35","40",,5,,,,"Kymes, A.; Ray, B.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85028805526
"Houston C.","","""Digital natives, 21st Century school libraries, and 21st century preparation programs: An Informal Affirmation of Branch and deGroot",2012,"School Libraries Worldwide","18",,,"138","143",,2,,,,"Houston, C.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85056062701
"Cahill M., Richey J.","","Integration of Evidence-Based Library and Information Practice into School Library Education: A Case Study",2012,"School Libraries Worldwide","18","2",,"95","105",,3,,,,"Cahill, M.; Richey, J.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84979071764
"Kluever J., Finley W.","","Making connections: Challenges and benefits of joint use libraries as seen in one community",2012,"School Libraries Worldwide","18","1",,"48","55",,3,,,,"Kluever, J.; Finley, W.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84933676387
"Jones S.A., Downs E., Repman J.","","The evolution of ePortfolios for school library education: A case study",2012,"School Libraries Worldwide","18","2",,"12","20",,1,,,,"Jones, S.A.; Downs, E.; Repman, J.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84928686328
"Johnston M.P.","","Connecting teacher librarians for technology integration leadership",2012,"School Libraries Worldwide","18","1",,"18","33",,10,,,,"Johnston, M.P.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84880299088
"Small R.V., Arnone M.P., Stripling B.K., Hill R.F., Bennett B.","","The three C's of distance education: Competence, creativity and community",2012,"School Libraries Worldwide","18","2",,"61","72",,1,,,,"Small, R.V.; Arnone, M.P.; Stripling, B.K.; Hill, R.F.; Bennett, B.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85080714223
"Ash-Argyle R., Shoham S.","","Librarians' leadership efficacy, pedagogical training and school involvement: Their connection to collaboration between teachers and school librarians in Israel",2012,"School Libraries Worldwide","18","1",,"1","17",,5,,,,"Ash-Argyle, R.; Shoham, S.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84922509388
"Cordier A., Lehmans A.","","Distance learning as a central issue for the learning and professionalization process of professeurs documentalistes: the French synthesis of transliteracy",2012,"School Libraries Worldwide","18",,,"41","50",,1,,,,"Cordier, A.; Lehmans, A.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85009409267
"Asselin M.","","Internationalism as leadership in IASL research: Accomplishments and directions",2011,"School Libraries Worldwide","17","2",,"13","24",,4,,,,"Asselin, M.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84890400696
"Cole E, Daniella S.","","Assistive technology and autism: Expanding the technology leadership role of the school librarian",2011,"School Libraries Worldwide","17","2",,"98","",,1,,,,"Cole, E; Daniella, S.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85097594706
"Ennis-Cole D., Smith D.","","Assistive Technology and Autism: Expanding the Technology Leadership Role of the School Librarian",2011,"School Libraries Worldwide","17","2",,"86","98",,15,,,,"Ennis-Cole, D.; Smith, D.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84877016836
"Dotson K.B., Jones J.L.","","Librarians and Leadership: The Change We Seek",2011,"School Libraries Worldwide","17","2",,"78","85",,3,,,,"Dotson, K.B.; Jones, J.L.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84902479986
"Fodale F., Bates J.","","What is the impact of the school library on pupils' personal development? A case study of a secondary school in Northern Ireland",2011,"School Libraries Worldwide","17","2",,"99","113",,4,,,,"Fodale, F.; Bates, J.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84903418505
"Branch-Mueller J., Degroot J.","","The Power Of Web 2.0: Teacher-Librarians Become School Technology Leaders",2011,"School Libraries Worldwide","17","2",,"25","40",,2,,,,"Branch-Mueller, J.; Degroot, J.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85015507278
"Johnston M.P., Bishop B.W.","","The potential and possibilities for utilizing geographic information systems to inform school library as place",2011,"School Libraries Worldwide","17","1",,"1","10",,4,,,,"Johnston, M.P.; Bishop, B.W.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84930576410
[No author name available],[No author id available],"Process or Product: Constructing or Reproducing Knowledge",2011,"School Libraries Worldwide",,,,"","",,1,,,,"",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-79958133126
"Turner R.","","Notes from the noodle factory: 21st-century librarianship in search of new paradigms",2011,"School Libraries Worldwide","17","2",,"71","77",,1,,,,"Turner, R.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85106748327
"DiScala J., Subramaniam M.","","Evidence-Based Practice: A Practice towards Leadership Credibility among School Librarians",2011,"School Libraries Worldwide","17","2",,"59","70",,10,,,,"DiScala, J.; Subramaniam, M.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84879320914
"Branch-Mueller J., de Groot J.","","The power of Web.2.0: Teacher-librarians become school technology leaders",2011,"School Libraries Worldwide","17","2",,"1","13",,1,,,,"Branch-Mueller, J.; de Groot, J.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84928661410
"Lee E.A., Klinger D.A.","","Against the flow: A continuum for evaluating and revitalizing school libraries",2011,"School Libraries Worldwide","17","1",,"24","35",,2,,,,"Lee, E.A.; Klinger, D.A.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84928660253
"Ewbank A.D.","","School Librarians' Advocacy for the Profession: Results of a U.S. National Survey",2011,"School Libraries Worldwide","17","2",,"41","58",,5,,,,"Ewbank, A.D.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84962491239
"Haycock K.","","Connecting British Columbia (Canada) School Libraries and Student Achievement: A Comparison of Higher and Lower Performing Schools with Similar Overall Funding",2011,"School Libraries Worldwide","17","1",,"37","50",,5,,,,"Haycock, K.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84924375528
"Herring J.E.","","Year seven students, concept mapping and the issues of transfer",2011,"School Libraries Worldwide","17","1",,"11","23",,2,,,,"Herring, J.E.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84892182486
"Gordon C.","","Inquiry-based learning for 21st century teaching",2010,"School Libraries Worldwide","16","1",,"80","",,1,,,,"Gordon, C.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85056398818
"Kaplan A.G.","","School library impact studies and school library media programs in the United States",2010,"School Libraries Worldwide","16","2",,"55","63",,6,,,,"Kaplan, A.G.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84903403382
"Williamson K., Archibald A., McGregor J.","","Shared vision: A key to successful collaboration?",2010,"School Libraries Worldwide","16","2",,"16","30",,8,,,,"Williamson, K.; Archibald, A.; McGregor, J.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84883615950
"Montiel-Overall P.","","Further Understanding of Collaboration: A Case Study of How It Works with Teachers and Librarians",2010,"School Libraries Worldwide","16","2",,"31","54",,16,,,,"Montiel-Overall, P.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84869997370
"Small R.V., Snyder J.","","Research instruments for measuring the impact of school libraries on student achievement and motivation",2010,"School Libraries Worldwide","16","1",,"61","72",,10,,,,"Small, R.V.; Snyder, J.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84855768574
"Oberg D.","","Issues for the Next Decade",2010,"School Libraries Worldwide",,,,"i","iii",,1,,,,"Oberg, D.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85032102997
"Enochs E.","","Features of Elementary School Library Poetry Collections: A Collection Analysis Study",2010,"School Libraries Worldwide","16","2",,"64","79",,1,,,,"Enochs, E.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85116596971
"Kuhlthau C.C.","","Guided inquiry: School libraries in the 21st century",2010,"School Libraries Worldwide","16","1",,"17","28",,61,,,,"Kuhlthau, C.C.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84867014244
"Jones J.L., Dotson K.B.","","Building the disposition of reflection through the inquiryfocused school library program",2010,"School Libraries Worldwide","16","1",,"33","46",,2,,,,"Jones, J.L.; Dotson, K.B.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-80053513988
"Schmidt R.K., Kowalski V., Nevins L.","","Guiding the Inquiry Using the Modified Scientific Literature Review",2010,"School Libraries Worldwide","16","1",,"13","32",,5,,,,"Schmidt, R.K.; Kowalski, V.; Nevins, L.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-84879293055
